name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
minneapolis,2021-01-08,-5.4,-9.3,-7,-5.4,-14.5,-9.7,-8.6,88.62,0,,0,,0,14.18,,13.3,215.7,1031.5,100,7,65.3,2.4,1,,2021-01-08T07:50:30,2021-01-08T16:49:44,0.87,Overcast,Cloudy skies throughout the day.,cloudy,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-09,-7.8,-10.4,-9.1,-9.9,-15.2,-13,-10.9,86.95,0,,0,,0,13.59,,11.9,299,1030.9,99.2,6.6,65.3,3.1,2,,2021-01-09T07:50:12,2021-01-09T16:50:52,0.92,Overcast,Cloudy skies throughout the day.,cloudy,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-10,-2,-7.4,-4.3,-4.1,-10.6,-7.4,-6.5,85.18,0,,0,,0,13.29,,14.2,266.4,1027.8,81.3,10.4,73.7,2.7,1,,2021-01-10T07:49:51,2021-01-10T16:52:02,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-11,2,-3.5,-1.3,-1.5,-7.1,-4.9,-4.6,78.25,0,,0,,0,13.28,,17,230.5,1017.7,41.3,15.9,174.3,6.3,3,,2021-01-11T07:49:28,2021-01-11T16:53:13,0.99,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-12,2.6,-7.3,-2.9,-0.2,-10.1,-4.7,-5.6,82.47,0,,0,,0,13.22,,11.1,226.7,1014.7,42.4,13,163.1,6.5,4,,2021-01-12T07:49:02,2021-01-12T16:54:25,1,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-13,4.4,-3.3,-0.2,3.8,-5.2,-1,-2.7,83.46,0,,0,,0.05,13.17,,11.6,121.2,1005.8,58,13.1,105.4,3.8,2,,2021-01-13T07:48:34,2021-01-13T16:55:39,0,Partially cloudy,Partly cloudy throughout the day.,snow,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-14,1.6,-0.4,0.4,0.9,-4.1,-2,-1,89.86,6.29,,50,,0.75,13.92,,16.6,202.9,996.8,85.3,8.3,23.9,1.1,1,,2021-01-14T07:48:04,2021-01-14T16:56:54,0.01,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"F0824,KSTP,72658414927,HPN21,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-15,1.8,0.7,1.3,-2.8,-4.7,-3.6,-0.3,89.27,5.84,,75,,0.43,14.36,44.6,26.5,191.6,1002.4,100,10.3,12.4,0.9,0,,2021-01-15T07:47:31,2021-01-15T16:58:10,0.03,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"F0824,KSTP,HPN21,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-16,0.9,-4.4,-1.8,-3.5,-10.1,-7.1,-4.2,83.68,0,,0,,0,13.62,,22.8,320.2,1009.3,99.9,15.1,60.8,2.6,2,,2021-01-16T07:46:55,2021-01-16T16:59:27,0.06,Overcast,Cloudy skies throughout the day.,cloudy,"F0824,KSTP,HPN21,72658414927,72657594960,72658014922,KMSP,KMIC"
minneapolis,2021-01-17,-5.2,-7,-6.4,-6.2,-11.8,-10.5,-8.4,85.77,0,,0,,0,13.22,,14.1,308.6,1010.2,100,14,77.4,2.8,2,,2021-01-17T07:46:17,2021-01-17T17:00:45,0.1,Overcast,Cloudy skies throughout the day.,cloudy,"F0824,KSTP,72658414927,72657594960,72658014922,KMSP,KMIC"
